location_id,city,state,country,latitude,longitude,last_updated_timestamp
1,Lake Davidport,Hawaii,Dominica,34.5682,151.8097,2025-09-03 13:37:24
2,Mccarthybury,Minnesota,Dominican Republic,71.6928,-162.2836,2025-09-10 10:54:18
3,Bellhaven,Arkansas,Japan,-53.3075,69.1475,2025-09-17 06:52:51
4,Moorechester,New Hampshire,Togo,77.4281,57.0052,2025-08-27 19:04:27
5,Glennview,North Carolina,Gambia,41.1122,-162.4836,2025-08-20 17:31:06
6,Davilaville,Arizona,Antarctica (the territory South of 60 deg S),64.3413,-3.912,2025-09-05 13:22:58
7,Shawnfurt,New Jersey,Lithuania,71.1198,-143.6791,2025-09-03 20:35:10
8,Bradleytown,Florida,Monaco,30.0895,88.091,2025-08-29 19:45:05
9,East Miguel,Maryland,French Guiana,-52.9274,-56.9343,2025-08-27 23:43:41
10,Masonside,Wyoming,Saint Lucia,84.9905,81.5852,2025-09-06 20:25:27
11,Gregorytown,Connecticut,Venezuela,-20.4441,-110.9417,2025-09-19 15:34:25
12,Woodstown,North Dakota,Seychelles,-55.2071,54.4873,2025-09-16 02:31:19
13,North Susanstad,Wisconsin,Tunisia,29.7243,-32.3773,2025-08-22 18:01:13
14,North Jodimouth,Nevada,Togo,-56.7022,-94.9916,2025-08-26 08:31:22
15,Stevensstad,Missouri,Italy,-66.9045,133.5157,2025-08-26 16:59:13
16,New Josephburgh,Nebraska,Lesotho,-50.8801,1.9203,2025-09-15 17:26:33
17,Zacharyport,Utah,Peru,-63.2489,63.0064,2025-08-30 22:04:52
18,South Cynthia,Oklahoma,Cayman Islands,-8.8718,-27.5926,2025-09-18 16:00:47
19,Orrburgh,Louisiana,Syrian Arab Republic,-88.1953,86.5364,2025-08-26 17:21:40
20,South Amandamouth,Pennsylvania,Grenada,34.9326,-125.7613,2025-09-09 02:09:46
21,North Jamie,New York,Cape Verde,13.0148,108.2596,2025-08-22 18:31:57
22,Daviesview,North Dakota,Tunisia,-71.9351,133.3636,2025-08-22 13:57:32
23,South Karenstad,North Dakota,Ecuador,24.7551,-171.1737,2025-08-29 23:09:41
24,Robertbury,Louisiana,Vietnam,-88.331,150.8571,2025-08-24 09:02:23
25,Davidbury,West Virginia,Marshall Islands,14.1393,6.7921,2025-08-24 01:44:16
26,Jeremiahchester,Louisiana,Barbados,-20.7269,-40.0347,2025-09-11 02:19:04
27,Jimenezview,New York,Tokelau,-13.977,-130.9149,2025-09-09 09:26:45
28,Cummingsmouth,Delaware,Palestinian Territory,1.1331,81.7435,2025-09-15 17:06:45
29,North Christophermouth,South Carolina,Australia,44.462,-18.8701,2025-09-06 08:56:51
30,Nicholsonshire,Washington,Ghana,-77.731,125.1139,2025-08-30 04:54:08
31,West Lacey,New Mexico,Azerbaijan,-76.3979,58.5535,2025-08-22 04:30:25
32,Pattonmouth,Illinois,Guinea-Bissau,-17.5733,33.7067,2025-09-16 06:48:31
33,Perezhaven,Utah,Macao,12.0753,-147.9233,2025-08-23 23:06:22
34,East Stephen,Georgia,Timor-Leste,-66.4608,-104.7628,2025-09-14 16:24:12
35,Josephstad,Connecticut,Swaziland,34.1588,-1.8357,2025-09-15 08:23:42
36,Bensonport,South Dakota,Cocos (Keeling) Islands,40.3832,-108.2375,2025-08-27 01:32:31
37,East Ericaborough,Alaska,Saint Kitts and Nevis,-44.2057,-109.9523,2025-09-14 13:43:11
38,Joshuaborough,New York,Senegal,39.6279,-91.3595,2025-08-31 01:54:05
39,Jasonborough,Illinois,Mexico,-79.7627,-52.5449,2025-09-16 15:08:16
40,North Justin,Nebraska,Trinidad and Tobago,60.3973,123.0022,2025-09-08 07:08:23
41,East Heidi,Florida,Central African Republic,-52.1685,146.0277,2025-09-19 12:20:16
42,Ericport,Mississippi,Kazakhstan,-56.0771,143.8596,2025-09-11 12:34:31
43,Craigland,New York,Saint Vincent and the Grenadines,5.3862,144.7674,2025-09-15 02:07:48
44,New Eric,Alabama,Switzerland,62.795,113.7292,2025-09-15 09:55:44
45,North Williamport,Kansas,Palau,12.7332,135.9089,2025-09-09 19:55:53
46,Rickyton,Oregon,Togo,13.3392,68.3422,2025-09-20 03:44:42
47,South Regina,Missouri,Brunei Darussalam,26.6862,169.5709,2025-08-27 08:24:37
48,West Lawrenceberg,Nebraska,Azerbaijan,-76.9552,-66.4315,2025-09-20 01:33:28
49,Steventon,Indiana,Ghana,-5.9245,22.5731,2025-08-22 06:50:48
50,Port Brenda,Wisconsin,Malaysia,-53.7947,32.7033,2025-09-10 01:31:01
