property_id,state_code,city,zip_code,property_type,appraised_value,ltv_ratio,year_built,last_updated_timestamp
PR001,CA,Los Angeles,90001,Single-Family,420000,76.2,1998,2024-01-01 00:00:00
PR002,TX,Austin,78701,Single-Family,310000,79.0,2005,2024-01-01 00:00:00
PR003,WA,Seattle,98101,Condo,520000,78.8,2012,2024-01-01 00:00:00
PR004,FL,Orlando,32801,Single-Family,230000,80.4,1988,2024-01-01 00:00:00
PR005,CA,San Francisco,94105,Condo,720000,77.8,2018,2024-01-01 00:00:00
PR006,OH,Columbus,43201,Single-Family,165000,78.8,1975,2024-01-01 00:00:00
PR007,NY,New York,10001,Condo,850000,79.4,2015,2024-01-01 00:00:00
PR008,IL,Chicago,60601,Single-Family,380000,78.4,2001,2024-01-01 00:00:00
PR009,AZ,Phoenix,85001,Single-Family,272000,79.0,2008,2024-01-01 00:00:00
PR010,GA,Atlanta,30301,Single-Family,195000,79.5,1992,2024-01-01 00:00:00
PR011,WA,Bellevue,98004,Single-Family,620000,78.9,2016,2024-01-01 00:00:00
PR012,CO,Denver,80201,Single-Family,470000,79.1,2010,2024-01-01 00:00:00
PR013,NC,Charlotte,28201,Single-Family,278000,79.1,2003,2024-01-01 00:00:00
PR014,CA,Palo Alto,94301,Single-Family,980000,79.6,2007,2024-01-01 00:00:00
PR015,TX,Houston,77001,Single-Family,206000,79.1,1995,2024-01-01 00:00:00
PR016,FL,Miami,33101,Condo,668000,78.6,2019,2024-01-02 00:00:00
PR017,OR,Portland,97201,Single-Family,368000,78.8,2004,2024-01-02 00:00:00
PR018,TX,Dallas,75201,Single-Family,556000,79.1,2014,2024-01-02 00:00:00
PR019,NV,Las Vegas,89101,Single-Family,247000,78.9,2006,2024-01-02 00:00:00
PR020,PA,Philadelphia,19101,Single-Family,393000,78.9,1999,2024-01-02 00:00:00
PR021,CA,San Diego,92101,Condo,772000,79.0,2017,2024-01-03 00:00:00
PR022,MN,Minneapolis,55401,Single-Family,222000,78.8,1996,2024-01-03 00:00:00
PR023,AZ,Scottsdale,85251,Single-Family,544000,79.0,2011,2024-01-03 00:00:00
PR024,CO,Boulder,80301,Condo,335000,79.1,2013,2024-01-03 00:00:00
PR025,TN,Nashville,37201,Single-Family,430000,79.1,2009,2024-01-04 00:00:00
PR026,MA,Boston,02101,Condo,625000,79.2,2020,2024-01-04 00:00:00
PR027,WI,Milwaukee,53201,Single-Family,289000,78.9,2002,2024-01-04 00:00:00
PR028,VA,Arlington,22201,Condo,487000,79.1,2015,2024-01-04 00:00:00
PR029,MO,Kansas City,64101,Single-Family,180000,78.9,1990,2024-01-04 00:00:00
