state_id,state_name,state_code,region,median_household_income,avg_home_price,last_updated_timestamp
ST01,California,CA,West,84097,750000,2024-01-01 00:00:00
ST02,Texas,TX,South,63826,310000,2024-01-01 00:00:00
ST03,Washington,WA,West,87648,580000,2024-01-01 00:00:00
ST04,Florida,FL,South,59227,420000,2024-01-01 00:00:00
ST05,Ohio,OH,Midwest,58116,210000,2024-01-01 00:00:00
ST06,New York,NY,Northeast,72108,650000,2024-01-01 00:00:00
ST07,Illinois,IL,Midwest,69187,290000,2024-01-01 00:00:00
ST08,Arizona,AZ,West,65913,420000,2024-01-01 00:00:00
ST09,Georgia,GA,South,58700,310000,2024-01-01 00:00:00
ST10,Colorado,CO,West,77127,550000,2024-01-01 00:00:00
ST11,North Carolina,NC,South,57341,310000,2024-01-01 00:00:00
ST12,Oregon,OR,West,67058,490000,2024-01-01 00:00:00
ST13,Nevada,NV,West,60365,410000,2024-01-01 00:00:00
ST14,Pennsylvania,PA,Northeast,63627,270000,2024-01-01 00:00:00
ST15,Minnesota,MN,Midwest,74593,340000,2024-01-01 00:00:00
ST16,Tennessee,TN,South,54833,380000,2024-01-01 00:00:00
ST17,Massachusetts,MA,Northeast,84385,590000,2024-01-01 00:00:00
ST18,Wisconsin,WI,Midwest,62494,260000,2024-01-01 00:00:00
ST19,Virginia,VA,South,80963,440000,2024-01-01 00:00:00
ST20,Missouri,MO,Midwest,55461,230000,2024-01-01 00:00:00
